k,x_n,f(x_n),Erro Estimado
1,-565656.000000000006025,-180991089500689114.781250000000000,188551.999999214292131
2,-377104.000000785713894,-53626989481601864.050781250000000,125701.333332416677081
3,-251402.666668369036813,-15889478364863204.867187500000000,83800.888887688513066
4,-167601.777780680523747,-4707993589551854.194824218750000,55867.259257575112215
5,-111734.518523105411532,-1394961063546091.164794921875000,37244.839503724254797
6,-74489.679019381156735,-413321796589697.268249511718750,24829.893000494162127
7,-49659.786018886994608,-122465717497024.238113403320312,16553.261997346554967
8,-33106.524021540439641,-36286138510281.102249145507812,11035.507993756988565
9,-22071.016027783451076,-10751448442587.323029518127441,7357.005322460887183
10,-14714.010705322563893,-3185614350090.722963333129883,4904.670204909692576
11,-9809.340500412871317,-943885731181.657063305377960,3269.780121513320937
12,-6539.560378899550380,-279669844824.107193857431412,2179.853391709719725
13,-4359.706987189830655,-82865138239.615393579006195,1453.235560540643146
14,-2906.471426649187509,-24552632907.892392097041011,968.823656164875635
15,-1937.647770484311874,-7274853765.638981820084155,645.882361232123865
16,-1291.765409252188008,-2155511941.093310682103038,430.588126689679418
17,-861.177282562508591,-638670014.691954302892555,287.058580344980498
18,-574.118702217528093,-189235433.623087682688492,191.372131660698594
19,-382.746570556829498,-56069674.352042874354083,127.581040359616295
20,-255.165530197213203,-16613181.437884874221709,85.053460524026717
21,-170.112069673186486,-4922387.623335414038138,56.701468102962853
22,-113.410601570223632,-1458461.315619403807773,37.799744344548115
23,-75.610857225675517,-432121.179881875404959,25.198031901203554
24,-50.412825324471964,-128025.998350821698480,16.796112661140487
25,-33.616712663331477,-37927.454519287571532,11.193817834652955
26,-22.422894828678522,-11234.076574494413969,7.457770211471073
27,-14.965124617207448,-3326.583558116574000,4.966051713980924
28,-9.999072903226525,-984.723750945960335,3.305059023480506
29,-6.694013879746018,-291.569541467477255,2.201696883997469
30,-4.492316995748549,-86.674419932194055,1.480532443432714
31,-3.011784552315835,-26.295865325543072,1.042967777873144
32,-1.968816774442691,-8.693971783396264,0.902920965743217
33,-1.065895808699474,-4.079208718088354,2.896339116380506
34,1.830443307681032,-2.527944757091788,0.313969244650684
35,2.144412552331716,0.572267156594741,0.048515654320445
36,2.095896898011271,0.015028158898383,0.001344398501355
37,2.094552499509917,0.000011361988376,0.000001017967007
38,2.094551481542910,0.000000000006511,0.000000000000583
39,2.094551481542327,0.000000000000000,0.000000000000000
